Gene,Treatment1,Treatment2,Treatment3,Vector1,Vector2,Vector3,KO1,KO2,KO3,WT1,WT2,WT3
MRPL51,12.76818827,13.06417536,13.08279911,12.7484335,12.47152177,12.64223375,12.79606609,12.80397671,12.84505871,12.4119989,12.65801307,12.58391535
NOP2,11.80318694,12.33665361,11.80532474,11.88798573,11.78841406,11.84298926,12.46415875,12.47165884,12.44682184,11.74667705,11.87898726,11.82412268
CHD4,14.25285892,14.16233925,14.17738975,14.10530733,14.01361948,14.03778173,14.36013627,14.35912385,14.37640969,14.37091921,14.28686681,14.39846802
ING4,9.826378512,9.462980681,9.94603255,9.438476359,9.545683255,9.485625906,9.167946777,9.232332482,8.98575592,9.345176684,9.569361414,9.421490834
CDCA3,11.23414453,11.78555062,11.39358704,10.97487911,10.62519875,10.87955384,11.25768206,11.2572055,11.26553342,10.98608122,11.05596007,11.1108927
CHPT1,11.93213195,11.94101631,11.85361178,11.70820641,11.6540174,11.71315664,12.03756492,12.12351761,12.03975582,11.76784585,11.8988905,11.86258245
USP5,14.07770118,14.03735979,14.06227925,13.92711709,13.75533888,13.86889581,13.96886495,13.96247778,13.88262726,13.71880374,13.91805525,13.93229347
TPI1,16.51423742,16.42572519,16.75838541,16.13341019,15.90921592,16.04669458,16.27095566,16.22623127,16.35243168,16.28072588,16.49430422,16.52598741
GNPTAB,12.46350863,12.02432358,12.19392586,12.52637145,12.60675891,12.59184638,11.45132772,11.62502824,11.47985923,12.1401564,12.2135282,12.00324929
SPSB2,9.728708509,9.563870657,9.775144078,9.847297448,9.980585301,9.982980735,10.04323192,10.14367328,9.886010865,9.763726611,10.08345222,10.16274728
ENO2,12.84298858,12.56975318,13.04185061,12.1621859,12.24485298,12.22853478,13.02965621,13.17149914,13.11151504,12.61143754,12.72643821,12.74628302
ATN1,12.99652796,12.96013091,12.9618856,13.15601452,13.30805867,13.16951931,13.28557069,13.45177216,13.40787167,13.46323228,13.4839026,13.64339383
